Название,Картинка,Цена,ав,Монтаж,Оплата,Бренд,Проживание,Высота
�уб.,4 500 руб.,18 000 руб.,"наличный и безналичный расчет, банковские карты",TERMIT,до 2 человек,1520 м
Септик Термит Профи+ 0.7 S,<_io.TextIOWrapper name='i.jpg' mode='r' encoding='cp1251'>,24 200 руб.,4 500 руб.,16 000 руб.,"наличный и безналичный расчет, банковские карты",TERMIT,до 1 человек,700 л
Септик Термит накопитель + 1.2,<_io.TextIOWrapper name='i.jpg' mode='r' encoding='cp1251'>,24 400 руб.,4 500 руб.,18 000 руб.,"наличный и безналичный расчет, банковские карты",TERMIT,до 2 человек,1830 м
Септик ДКС-оптимум,<_io.TextIOWrapper name='i.jpg' mode='r' encoding='cp1251'>,28 800 руб.,4 500 руб.,по запросу,"наличный и безналичный расчет, банковские карты",ДКС,до 2 человек,750 л
Септик Термит Профи+ 1.2 S,<_io.TextIOWrapper name='i.jpg' mode='r' encoding='cp1251'>,30 600 руб.,4 500 руб.,16 000 руб.,"наличный и безналичный расчет, банковские карты",TERMIT,до 2 человек,1200 л
Септик Термит Профи+ 0.7 PR,<_io.TextIOWrapper name='i.jpg' mode='r' encoding='cp1251'>,30 700 руб.,4 500 руб.,16 000 руб.,"наличный и безналичный расчет, банковские карты",TERMIT,до 1 человек,700 л
Септик Росток мини,<_io.TextIOWrapper name='i.jpg' mode='r' encoding='cp1251'>,31 300 руб.,4 500 руб.,20 000 руб.,"наличный и безналичный расчет, банковские карты",Росток,до 2 человек,1000 л
Септик Термит накопитель + 2.0,<_io.TextIOWrapper name='i.jpg' mode='r' encoding='cp1251'>,36 600 руб.,4 500 руб.,19 000 руб.,"наличный и безналичный расчет, банковские карты",TERMIT,до 4 человек,1730 м
Септик Термит Профи+ 1.2 PR,<_io.TextIOWrapper name='i.jpg' mode='r' encoding='cp1251'>,38 600 руб.,4 500 руб.,16 000 руб.,"наличный и безналичный расчет, банковские карты",TERMIT,до 2 человек,1200 л
Септик Дочиста Classic 3,<_io.TextIOWrapper name='i.jpg' mode='r' encoding='cp1251'>,40 500 руб.,4 500 руб.,16 000 руб.,"наличный и безналичный расчет, банковские карты",Дочиста,до 3 человек,1200 л
Септик ДКС-15,<_io.TextIOWrapper name='i.jpg' mode='r' encoding='cp1251'>,40 800 руб.,4 500 руб.,по запросу,"наличный и безналичный расчет, банковские карты",ДКС,до 3 человек,1550 л
Септик Росток дачный,<_io.TextIOWrapper name='i.jpg' mode='r' encoding='cp1251'>,41 400 руб.,4 500 руб.,22 000 руб.,"наличный и безналичный расчет, банковские карты",Росток,до 3 человек,1500 л
Септик ДКС-15м,<_io.TextIOWrapper name='i.jpg' mode='r' encoding='cp1251'>,42 400 руб.,4 500 руб.,по запросу,"наличный и безналичный расчет, банковские карты",ДКС,до 3 человек,1550 л
Септик Термит Трансформер 1.3 S,<_io.TextIOWrapper name='i.jpg' mode='r' encoding='cp1251'>,43 500 руб.,4 500 руб.,16 000 руб.,"наличный и безналичный расчет, банковские карты",TERMIT,до 2 человек,1300 л
Септик Термит накопитель + 2.5,<_io.TextIOWrapper name='i.jpg' mode='r' encoding='cp1251'>,45 400 руб.,4 500 руб.,23 000 руб.,"наличный и безналичный расчет, банковские карты",TERMIT,до 5 человек,1930 м
Септик Термит Трансформер 1.5 S,<_io.TextIOWrapper name='i.jpg' mode='r' encoding='cp1251'>,48 200 руб.,4 500 руб.,17 000 руб.,"наличный и безналичный расчет, банковские карты",TERMIT,до 3 человек,1500 л
Септик Термит Профи+ 2.0 S,<_io.TextIOWrapper name='i.jpg' mode='r' encoding='cp1251'>,48 900 руб.,4 500 руб.,16 000 руб.,"наличный и безналичный расчет, банковские карты",TERMIT,до 4 человек,2000 л
Септик Терра 3,<_io.TextIOWrapper name='i.jpg' mode='r' encoding='cp1251'>,49 990 руб.,4 500 руб.,16 000 руб.,"наличный и безналичный расчет, банковские карты",Терра,до 3 человек,150 л
Септик ДКС-20М самотечный,<_io.TextIOWrapper name='i.jpg' mode='r' encoding='cp1251'>,50 100 руб.,уточняйте у менеджера,по запросу,"наличный и безналичный расчет, банковские карты",ДКС,до 6 человек,150 л
Септик Термит Трансформер 1.3 PR,<_io.TextIOWrapper name='i.jpg' mode='r' encoding='cp1251'>,50 800 руб.,4 500 руб.,16 000 руб.,"наличный и безналичный расчет, банковские карты",TERMIT,до 2 человек,1300 л
Септик Дочиста Classic 3 Пр,<_io.TextIOWrapper name='i.jpg' mode='r' encoding='cp1251'>,51 500 руб.,4 500 руб.,16 000 руб.,"наличный и безналичный расчет, банковские карты",Дочиста,до 3 человек,1200 л
Септик ДКС-20М,<_io.TextIOWrapper name='i.jpg' mode='r' encoding='cp1251'>,51 700 руб.,уточняйте у менеджера,по запросу,"наличный и безналичный расчет, банковские карты",ДКС,до 6 человек,150 л
Септик Терра 3 ПР,<_io.TextIOWrapper name='i.jpg' mode='r' encoding='cp1251'>,54 000 руб.,4 500 руб.,16 000 руб.,"наличный и безналичный расчет, банковские карты",Терра,до 3 человек,150 л
Септик Терра 4,<_io.TextIOWrapper name='i.jpg' mode='r' encoding='cp1251'>,55 000 руб.,4 500 руб.,17 000 руб.,"наличный и безналичный расчет, банковские карты",Терра,до 4 человек,200 л
Септик Термит Трансформер 1.5 PR,<_io.TextIOWrapper name='i.jpg' mode='r' encoding='cp1251'>,55 500 руб.,4 500 руб.,17 000 руб.,"наличный и безналичный расчет, банковские карты",TERMIT,до 3 человек,1500 л
Септик ДКС-25М самотечный,<_io.TextIOWrapper name='i.jpg' mode='r' encoding='cp1251'>,55 800 руб.,уточняйте у менеджера,по запросу,"наличный и безналичный расчет, банковские карты",ДКС,до 7 человек,200 л
Септик Термит накопитель + 3.0,<_io.TextIOWrapper name='i.jpg' mode='r' encoding='cp1251'>,56 700 руб.,4 500 руб.,24 000 руб.,"наличный и безналичный расчет, банковские карты",TERMIT,до 6 человек,2110 м
Септик Термит Профи+ 2.5 S,<_io.TextIOWrapper name='i.jpg' mode='r' encoding='cp1251'>,56 800 руб.,4 500 руб.,16 000 руб.,"наличный и безналичный расчет, банковские карты",TERMIT,до 5 человек,2500 л
Септик Термит Профи+ 2.0 PR,<_io.TextIOWrapper name='i.jpg' mode='r' encoding='cp1251'>,57 000 руб.,4 500 руб.,16 000 руб.,"наличный и безналичный расчет, банковские карты",TERMIT,до 4 человек,2000 л
